Species,Spcode,Genus_species,Functional.group,Ps.pathway ,origin,duration,notes
Unknown tall phlox,259,unknown,forb,unknown,unknown,unknown,
Unk overlapping alt,263,unknown,forb,unknown,unknown,unknown,
UNKFCHY1,264,unknown,forb,unknown,unknown,unknown,
UNKFCHY2,265,unknown,forb,unknown,unknown,unknown,
UNKFCHY3,266,unknown,forb,unknown,unknown,unknown,
UNKFCHY4,267,unknown,forb,unknown,unknown,unknown,
UNKFCHY5,268,unknown,forb,unknown,unknown,unknown,
UNKFCHY6,269,unknown,forb,unknown,unknown,unknown,
UNKFCHY7,270,unknown,forb,unknown,unknown,unknown,
UNKFCHY8,271,unknown,forb,unknown,unknown,unknown,
UNKFHYS1,272,unknown,forb,unknown,unknown,unknown,
UNKFHYS2,273,unknown,forb,unknown,unknown,unknown,
UNKFHYS3,274,unknown,forb,unknown,unknown,unknown,
UNKFHYS4,275,unknown,forb,unknown,unknown,unknown,
UNKFHYS5,276,unknown,forb,unknown,unknown,unknown,
UNKFHYS7,277,unknown,forb,unknown,unknown,unknown,
UNKFHYS8,278,unknown,forb,unknown,unknown,unknown,
UNKFKNZ1,279,unknown,forb,unknown,unknown,unknown,
UNKFKNZ2,280,unknown,forb,unknown,unknown,unknown,
UNKFKNZ3,281,unknown,forb,unknown,unknown,unknown,
unkforb opp. Lvs,282,unknown,forb,unknown,unknown,unknown,
UNKFSGS1,283,unknown,forb,unknown,unknown,unknown,
UNKFSGS2,284,unknown,forb,unknown,unknown,unknown,
UNKFSGS3,285,unknown,forb,unknown,unknown,unknown,
UNKGRHYS1,286,unknown,forb,unknown,unknown,unknown,
UNKGRHYS2,287,unknown,forb,unknown,unknown,unknown,
UNKHYS,288,unknown,forb,unknown,unknown,unknown,
Unknown ericoides small,292,unknown,forb,unknown,unknown,unknown,
Unknown forb,293,unknown,forb,unknown,unknown,unknown,
Unknown Forb,293,unknown,forb,unknown,unknown,unknown,
Unknown forb 3,293,unknown,forb,unknown,unknown,unknown,
Unknown grass,296,unknown,forb,unknown,unknown,unknown,
Unknown linear lvs,297,unknown,forb,unknown,unknown,unknown,
Unknown milky waxy,298,unknown,forb,unknown,unknown,unknown,
Agrostis,299,Agrostis_sp.,graminoid,c3,unknown,unknown,
Agrostis_sp.,299,Agrostis_sp.,forb,unknown,unknown,unknown,
Unknown pilos forb,300,unknown,forb,unknown,unknown,unknown,
Unknown ranunculus?,301,unknown,forb,unknown,unknown,unknown,
unknownrosette,302,unknown,forb,unknown,unknown,unknown,
Unknownrosette,302,unknown,forb,unknown,unknown,unknown,
Alien????,303,unknown,forb,unknown,unknown,unknown,
Altisma seedling,304,unknown,forb,unknown,unknown,unknown,
Unknown Seedling,304,unknown,forb,unknown,unknown,unknown,
AMRU,305,Am_ru,forb,unknown,unknown,unknown,
aristata unknown,306,unknown,graminoid,unknown,unknown,unknown,
Unknown/dry/sad,307,unknown,forb,unknown,unknown,unknown,
UNKTRKNZ1,310,unknown,forb,unknown,unknown,unknown,
UNKTRKNZ2,311,unknown,forb,unknown,unknown,unknown,
Verbena_stricta,312,Verbena_stricta,forb,unknown,native,annual or perennial,
Verbenastricta,312,Verbena_stricta,forb,unknown,native,annual or perennial,
VEST,312,Verbena_stricta,forb,unknown,native,annual or perennial,
Vernonia_baldwinii,313,Vernonia_baldwinii,forb,unknown,native,perennial ,
Vernonia.baldwinii,313,Vernonia_baldwinii,forb,unknown,native,perennial ,
Vernoniabaldwinii,313,Vernonia_baldwinii,forb,unknown,native,perennial ,
veronia,313,Vernonia_baldwinii,forb,unknown,native,perennial ,
Vicia_americana,314,Vicia_americana,forb,unknown,native,perennial ,
Viciaamericana,314,Vicia_americana,forb,unknown,native,perennial ,
viola rap,315,Viola_rafinesquii,forb,unknown,unknown,unknown,follow up with mendy 
Viola_rafinesquii,315,Viola_rafinesquii,forb,unknown,unknown,unknown,
Violarafinesquii,315,Viola_rafinesquii,forb,unknown,unknown,unknown,
violarap,315,Viola_rafinesquii,forb,unknown,unknown,unknown,
Vulpia octoflora,317,Vulpia_octoflora,graminoid,c3,native,annual ,
Vulpia_octoflora,317,Vulpia_octoflora,graminoid,c3,native,annual ,
Vulpiaamericana,317,Vulpia_octoflora,graminoid,c3,native,annual ,
Vulpiaoctiflora,317,Vulpia_octoflora,graminoid,c3,native,annual ,
vulpiaoctoflora,317,Vulpia_octoflora,graminoid,c3,native,annual ,
Vulpiaoctoflora,317,Vulpia_octoflora,graminoid,c3,native,annual ,
Vuplpia octoflora,317,Vulpia_octoflora,graminoid,c3,native,annual ,
X...Sonchus.seedling..,318,unknown,forb,unknown,unknown,unknown,
ASSY,321,Asclepias_syriaca,forb,unknown,native,perennial ,
Ambrosia_art,323,Ambrosia_artemisiifolia,forb,unknown,native,annual,
Ambrosiaartemisiifolia,323,Ambrosia_artemisiifolia,forb,unknown,native,annual,
Antennariaparvifolia,324,Antennaria_parviflolia,forb,unknown,native,perennial ,
Carexblanda,325,Carex_blanda,graminoid,c3,native,perennial ,
Convolvulusarvensis,327,Convolvulous_arvensis,forb,unknown,exotic,perennial ,
Descurainia_pinnata,328,Descurainia_pinnata,forb,unknown,native,annual or biennial or perennial,
Descurainiapinnata,328,Descurainia_pinnata,forb,unknown,native,annual or biennial or perennial,
Draba_sp.,329,Draba_nemorosa,forb,unknown,native,annual ,
Draba_yellow,329,Draba_nemorosa,forb,unknown,native,annual ,
Drabanemorosa,329,Draba_nemorosa,forb,unknown,native,annual ,
Erysimumcapitatum,330,Erysimum_capitatum,forb,unknown,native,biennial or perennial ,
Evolvulusnuttalliana,331,Evolvulus_nuttallianus,forb,unknown,native,perennial ,
Kochiascoparia,332,Kochia_scoparia,forb,unknown,exotic,annual ,
Lespedezaviolacea,333,Lespedeza_violacea,forb,unknown,native,perennial ,
Nothocalaiscuspidata,334,Nothocalais_cuspidata,forb,unknown,native,perennial ,
Paronychiasp.,336,Paronychia_sp.,forb,unknown,unknown,unknown,
Picradeniopsis_oppositifolia,337,Picradeniopsis_oppositifolia,forb,unknown,native,perennial ,
Picradeniopsisoppositifolia,337,Picradeniopsis_oppositifolia,forb,unknown,native,perennial ,
Rhusglabra,339,Rhus_glabra,woody,c3,native,perennial ,
Solanumtriflorum,340,Solanum_triflorum,forb,unknown,native,annual ,
Sonchusasper,341,Sonchus_asper,forb,unknown,exotic,annual ,
Sporobolusheterolepis,342,Sporobolus_heterolepis,graminoid,c4,native,perennial ,
Stenarianigricans,343,Stenaria_nigricans,forb,unknown,native,perennial ,
Tetraneuris acaulis,344,Tetraneuris_acaulis,forb,unknown,native,perennial ,
Tetraneuris_acaulis,344,Tetraneuris_acaulis,forb,unknown,native,perennial ,
Tetraneurisacaulis,344,Tetraneuris_acaulis,forb,unknown,native,perennial ,
fall opposite leaf,345,unknown,forb,unknown,unknown,unknown,
Opposite leaf unknown,345,unknown,forb,unknown,unknown,unknown,
oppositeleaf,345,unknown,forb,unknown,unknown,unknown,
Tradescantia_bracteata,346,Tradescantia_bracteata,forb,unknown,native,perennial ,
Tradescantiabracteata,346,Tradescantia_bracteata,forb,unknown,native,perennial ,
Tradescantiasp.,346,Tradescantia_bracteata,forb,unknown,native,perennial ,
Ulmusamericana,347,Ulmus_americana,woody,c3,native,perennial ,
Panicumsp.,348,Panicum_sp. ,graminoid,c4,unknown,unknown,
Polygonumsp.,349,Polygonum_sp. ,forb,unknown,unknown,unknown,
seedling unknown,350,unknown,forb,unknown,unknown,unknown,
Aristida,351,Aristada_sp. ,graminoid,c3,unknown,unknown,
astragalus unknown,353,Astragalus_sp. ,forb,unknown,unknown,unknown,
Astragalussp.,353,Astragalus_sp. ,forb,unknown,unknown,unknown,
astragulus unknown,353,Astragalus_sp. ,forb,unknown,unknown,unknown,
astrogalus unknown,353,Astragalus_sp. ,forb,unknown,unknown,unknown,
Chaetopappaericoides,354,Chaetopappa_ericoides,forb,unknown,native,perennial ,
Silene sp.,355,Silene_sp. ,forb,unknown,unknown,unknown,
oenotheria,358,Oenothera_sp.,forb,unknown,unknown,unknown,
Townsendia grandiflora?,359,unknown,forb,unknown,unknown,unknown,
Unknown rosette,361,unknown,forb,unknown,unknown,unknown,
Unknown whorled linear,362,unknown,forb,unknown,unknown,unknown,
panicum unknown,363,unknown,forb,unknown,unknown,unknown,
Clover,364,unknown,forb,unknown,unknown,unknown,
PACA,388,Panicum_capillare,forb,unknown,native,annual,
Unknown woody,367,unknown,unknown,unknown,unknown,unknown,
Thelesperma_megapotamicum,368,Thelesperma_megapotamicum,forb,unknown,native,perennial ,
Thelespermamegapotamicum,368,Thelesperma_megapotamicum,forb,unknown,native,perennial ,
Milky waxy?,369,unknown,forb,unknown,unknown,unknown,
mustard unknown,370,unknown,forb,unknown,unknown,unknown,
Oenothera,371,Oenothera_sp.,forb,unknown,unknown,unknown,
oxytopis like legume,372,unknown,forb,unknown,unknown,unknown,
Tall astragulus,373,Astragalus_sp. ,forb,unknown,unknown,unknown,
alternate_leaf_forb,375,unknown,forb,unknown,unknown,unknown,
alternate_strong_midvein_hairy_margin,376,unknown,forb,unknown,unknown,unknown,
Astragalus_sp.,378,Astragalus_sp. ,forb,unknown,unknown,unknown,
Unknown_Astragalus,378,Astragalus_sp. ,forb,unknown,unknown,unknown,
Desmodium_illinoense,379,Desmodium_illinoense,forb,unknown,native,perennial ,
Festuca_sp.,382,Festuca_sp.,graminoid,c3,unknown,unknown,
Festuca_unknown,382,Festuca_sp.,graminoid,c3,unknown,unknown,
huge_penstemon,383,Penstemon_sp.,forb,unknown,unknown,unknown,
juicy_forb,384,unknown,forb,unknown,unknown,unknown,
Unknown JUICY forb,384,unknown,forb,unknown,unknown,unknown,
Lepidium_like_forb,385,unknown,forb,unknown,unknown,unknown,
Lipidium_like,385,unknown,forb,unknown,unknown,unknown,
Lipidium_like_forb,385,unknown,forb,unknown,unknown,unknown,
Oerothera_rosette?,386,unknown,forb,unknown,unknown,unknown,
Oxytropis_sp.,387,Oxytropis_sp.,forb,unknown,unknown,unknown,
Panicum_capillare,388,Panicum_capillare,forb,unknown,native,annual,
Plantago_lanceolata,389,Plantago_lanceolata,forb,unknown,exotic,annual or biennial or perennial ,
Primrose_like,390,unknown,forb,unknown,unknown,unknown,
Red_edged_forb,391,unknown,forb,unknown,unknown,unknown,
Red_margined,391,unknown,forb,unknown,unknown,unknown,
Solanum_triflorum,340,Solanum_triflorum,forb,unknown,native,annual,
Three_Leaf_Unknown_forb,395,unknown,forb,unknown,unknown,unknown,
shiny_alternate,397,unknown,forb,unknown,unknown,unknown,
uknown_shiny_alternate,397,unknown,forb,unknown,unknown,unknown,
unknown_shiny_alternate,397,unknown,forb,unknown,unknown,unknown,
Ulmus,398,Ulmus_sp. ,forb,unknown,unknown,unknown,
Ulmus_sp.,398,Ulmus_sp. ,forb,unknown,unknown,unknown,
unknown forb,398,unknown,forb,unknown,unknown,unknown,
Unknown_Cirsium,401,unknown,forb,unknown,unknown,unknown,
Unknown_Erysimum,402,unknown,forb,unknown,unknown,unknown,
unknown_forb_tooth,403,unknown,forb,unknown,unknown,unknown,
unknown_machearanthera,405,unknown,forb,unknown,unknown,unknown,
unknown_pinnately_lobed,406,unknown,forb,unknown,unknown,unknown,
unknown_short_alternate,409,unknown,forb,unknown,unknown,unknown,
unknown ??,410,unknown,forb,unknown,unknown,unknown,
ASOX,502,unknown,forb,unknown,unknown,unknown,
Sporobolus sp.,503,Sporobolus_sp. ,graminoid_c4,c4,unknown,unknown,
sporobulus_like_grass,503,Sporobolus_sp. ,graminoid_c4,c4,unknown,unknown,
Astragalus_unknown,504,Astragalus_sp. ,forb,unknown,unknown,unknown,
Croton_monanthogynus,507,Croton_texensis,forb,unknown,native,annual,
Croton_texensis,507,Croton_texensis,forb,unknown,native,annual,
Crotonsp.,507,Croton_texensis,forb,unknown,native,annual,
Crotontexensis,507,Croton_texensis,forb,unknown,native,annual,
UNK aster rosette,508,unknown,forb,unknown,unknown,unknown,
UNK Aster rosette,508,unknown,forb,unknown,unknown,unknown,
rush unknown,509,unknown,graminoid ,c3,unknown,unknown,
